CustID	DUALPLAY	FRAGILITE	TV	TOY	Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Var31	Var32	Var33	Var34	Var35	Var36	Var37	Var38	Var39	Var40	Var41	Var42	Var43	Var44	Var45	Var46	Var47	Var48	Var49	Var50	Var51	Var52	Var53	Var54	Var55	Var56	Var57	Var58	Var59	Var60	Var61	Var62	Var63	Var64	Var65	Var66	Var67	Var68	Var69	Var70	Var71	Var72	Var73	Var74	Var75	Var76	Var77	Var78	Var79	Var80	Var81	Var82	Var83	Var84	Var85	Var86	Var87	Var88	Var89	Var90	Var91	Var92	Var93	Var94	Var95	Var96	Var97	Var98	Var99	Var100	Var101	Var102	Var103	Var104	Var105	Var106	Var107	Var108	Var109	Var110	Var111	Var112	Var113	Var114	Var115	Var116	Var117	Var118	Var119	Var120	Var121	Var122	Var123	Var124	Var125	Var126	Var127	Var128	Var129	Var130	Var131	Var132	Var133	Var134	Var135	Var136	Var137	Var138	Var139	Var140	Var141	Var142	Var143	Var144	Var145	Var146	Var147	Var148	Var149	Var150	Var151	Var152	Var153	Var154	Var155	Var156	Var157	Var158	Var159	Var160	Var161	Var162	Var163	Var164	Var165	Var166	Var167	Var168	Var169	Var170	Var171	Var172	Var173	Var174	Var175	Var176	Var177	Var178	Var179	Var180	Var181	Var182	Var183	Var184	Var185	Var186	Var187	Var188	Var189	Var190	Var191	Var192	Var193	Var194	Var195	Var196	Var197	Var198	Var199	Var200	Var201	Var202	Var203	Var204	Var205	Var206	Var207	Var208	Var209	Var210	Var211	Var212	Var213	Var214	Var215	Var216	Var217	Var218	Var219	Var220	Var221	Var222	Var223	Var224	Var225	Var226	Var227	Var228	Var229	Var230
00001	0	0	0	0						1526	7						184								464	580		14	128			166.56							0			3570						0													4.076907								9								36	35		1350864		0			7333.11		5		12																								104			168	117625.6						1175				6		720	8						0	1212385	69134						185			0	9					397579				1812252							142			38418										0								0								462			bZkvyxLkBI	RO12		taul	1K8T	lK27	ka_ns41	nQUveAzAF7			dXGu	9_Y1	FbIm	VpdQ	haYg	me75fM6ugJ	kIsH		uKAI	L84s	XfqtO3UdzaXh_				XTbPUYD	sH5Z	cJvF	FzaX	1YVfGrO	oslk	fXVEsaq	jySVZNlOJy			xb3V	RAYp	F2FyR07IdsN7I		
00002	0	1	0	0						525	0						0								168	210		2	24			353.52							0			4764966						0													5.408032								9							3	26	0		2872928		3			151098.9		25		2									58158															40			40	-356411.6						590				72		0							8	4136430	357038						0			0	9					278334				10439160							32			238572										0								0											CEat0G8rTN	RO12		taul	1K8T	2Ix5	qEdASpP	y2LIM01bE1			lg1t	9_Y1	k13i	sJzTlal	zm5i	me75fM6ugJ	kIsH		uKAI	L84s	NhsEn4L				kZJyVg2			FzaX	0AJo2f2	oslk	2Kb5FSF	LM8l689qOp			fKCe	RAYp	F2FyR07IdsN7I		
00003	0	0	0	1						5236	7						904								1212	1515		26	816			220.08							0			5883894						0													6.599658								9								130	518		1675776		0			16211.58		40		58																								312			336	405104						3230				114		5967	-28						0	3478905	248932						800			0	36					320565				9826360							206			434946										0								0											eOQt0GoOh3	AERks4l	SEuy	taul	1K8T	ffXs	NldASpP	y4g9XoZ	vynJTq9	smXZ	4bTR	9_Y1	MGOA	VpdQ	haYg	DHn_WUyBhW_whjA88g9bvA64_	kIsH		uKAI	L84s	UbxQ8lZ		TTGHfSv		pMWAe2U	bHR7	UYBR	FzaX	JFM1BiF	Al6ZaUT	NKv4yOc	jySVZNlOJy		kG3k	Qu4f	02N6s8f	ib5G6X1eUxUn6	am7c	
00004	0	0	0	1							0						0									0			0			22.08							0			0						0													1.98825								9								12	0		0		0					0		0																											0	-275703.6										0		0	-14						0	0	0						0			0										0							0			0										0								0											jg69tYsGvO	RO12		taul	1K8T	ssAy	_ybO0dd	4hMlgkf58mhwh			W8mQ	9_Y1	YULl	VpdQ		me75fM6ugJ	kIsH		uKAI	Mtgm	NhsEn4L				kq0dQfu	eKej	UYBR	FzaX	L91KIiz	oslk	CE7uk3u	LM8l689qOp			FSa2	RAYp	F2FyR07IdsN7I		
00005	0	0	0	0						1029	7						3216								64	80		4	64			200							0			0						0													4.552446								18							3	82	224		784448		0			37423.5		0		0									89754															32			56	10714.84						215				0		15111	58						0	150650	66046						3255			0	9					267162				644836							2			0										0								0											IXSgUHShse	RO12	SEuy	taul	1K8T	uNkU	EKR938I	ThrHXVS	0v21jmy	smXZ	xklU	9_Y1	RVjC	sJzTlal	6JmL	me75fM6ugJ	kIsH		uKAI	L84s	XfqtO3UdzaXh_		SJs3duv		11p4mKe	H3p7	UYBR	FzaX	OrnLfvc	oslk	1J2cvxe	LM8l689qOp		kG3k	FSa2	RAYp	F2FyR07IdsN7I	mj86	
00006	0	0	0	0						658	7						3156								224	280		2	72			200							5			0						0													0.1664174								9								126	196		209048		0			11370.72		0		10																								32			64	369814						755				0		1935							8	641020	43684						355			0	9					2639				745620							68			61368										0								0											m9SrEy7Rm6	2Knk1KF		taul	1K8T	lK27	fayYfhR	etM739XNb0Rf0			ae6C	9_Y1	yrDU	VpdQ	wMei	DHn_WUyBhW_whjA88g9bvA64_	kIsH		uKAI	L84s	3vzwTT0wY25GE				teAHwXo	ykzL	UYBR	FzaX	KbkKEj0	zCkv	QqVuch3	LM8l689qOp			Qcbd	02N6s8f	Zy3gnGM	am7c	
00007	0	0	0	0						1680	7						2952								308	385		4	128			176.56							0			13158						0													5.448622								9								114	392		1030800		0			31655.4		5		16																								88			176	-808528						1080				24		13194	-24						0	1664450	104978						1665			0	18					47019				2345424							52			417438										0								0								228			Qu0qrQKzJV	2Knk1KF	lvza	taul	1K8T	EJC9	ofiZR7x	LJF4fPp	QYxAlFM	smXZ	5Rb0	9_Y1	15m3	VpdQ	haYg	me75fM6ugJ	kIsH		uKAI	Mtgm	XfqtO3UdzaXh_		RQAGE01		11p4mKe	NvHl	UYBR	FzaX	JO03372	oslk	XlgxB9z	LM8l689qOp		kG3k	FSa2	RAYp	55YFVY9	am7c	
00008	0	0	0	0						77	0						0								32	40		2	16			230.56							0			3776496						0													5.067507								9								18	0		0		3			402441		0		2																								8			0	101923.6						215				12		0	-8						8	3839825	1284128						0			0	0					4233600				10577000							6			3628800										0								0											eOQgUHShse	RO12		LfvqpCtLOY	1K8T	Bxva	Xlthli9	GaiUdPAZp_			Mx5G	9_Y1	RVjC	VpdQ	IYzP	me75fM6ugJ	kIsH		uKAI	Mtgm	NhsEn4L				7WwuNea	9haV	UYBR		U8IKsQe	oslk	R2LdzOv				FSa2	RAYp	F2FyR07IdsN7I		
00009	0	0	0	0						1176	7						2912								200	250		2	64			300.32							0			6014460						0													2.045717								27							3	72	91		1933712		0			117761.7		40		2									45645															56			40	161314.4						790				90		2754							0	3830510	203586						3080			0	0					114695				10405680							26			98310										0								0											4e7Wq69R_D	RO12	SEuy	taul	1K8T	0Xwj	6CXYbuk	okUBQrgaYWgG0	z1Qe5zX	smXZ	1G9T	HLqf	Px52	VpdQ	IYzP	Kxdu	sBgB		7A3j	L84s	9pUnzWLbztKTo		yBN8Pcy		kq0YABQ			FzaX	ROeipLp	zCkv	K2SqEo9	jySVZNlOJy		kG3k	PM2D	6fzt	am14IcfM7tWLrUmRT52KtA	am7c	
0000A	0	0	0	1						1141	7						164								208	260		2	72			166.56							5			5317974						0													6.326853								18							3	114	0		1858088		6			149686.5		10		24									125064															112			32	842480						1065				66		6561							32	2577245	210014						155			0	18					227892				7608840							28			132210										2								0											J9Vr4RQZiT	2Knk1KF	SEuy	taul	1K8T	kNzO	jwhtMxl	koda1Jh	A4emZtf	smXZ	HJm0	9_Y1	mTeA	VpdQ	giwq	me75fM6ugJ	kIsH		uKAI	L84s	h0lfDKh52u4GP		IX6bJ7L		IoI4mKe	b30L	UYBR	FzaX	fabLnWA	oslk	EPqQcw6	LM8l689qOp		kG3k	FSa2	RAYp	55YFVY9		
